,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
4951,39.83279502,183.4461499,71.00440213,81.71329678,0.03257288,0.08340192,12.3525039,6162,62,solo,75,7.64,657.84,SK0102_2_solo555_75_mono.wav
4952,34.32191281,183.185397,67.097895,78.26274666,0.028229927,0.107749038,12.4978042,6162,62,solo,76,8.61,741.73,SK0102_2_solo555_76_mono.wav
4953,30.12434573,179.8230527,71.28333222,86.37070323,0.025112331,0.087354062,11.9185196,6162,62,solo,77,9.46,814.69,SK0102_2_solo555_77_mono.wav
4954,42.4256829,565.6000285,69.58184885,81.49704648,0.024567124,0.080531911,15.7310854,6162,62,solo,78,10.31,888.42,SK0102_2_solo555_78_mono.wav
4955,30.43638752,175.0600677,68.0924257,80.60472206,0.037289474,0.102690041,9.54693257,6162,62,solo,79,10.63,915.46,SK0102_2_solo555_79_mono.wav
4956,32.89107074,185.3959672,69.29761352,82.16945675,0.032054448,0.097282488,11.5803155,6162,62,solo,7,10.26,883.42,SK0102_2_solo555_7_mono.wav
4957,43.20834136,197.5843763,67.6177044,77.5139476,0.040522487,0.103727791,9.56978622,6162,62,solo,80,8.33,717.36,SK0102_2_solo555_80_mono.wav
4958,30.21238737,206.0433634,69.36962921,82.07046212,0.025360954,0.095377726,11.408422,6162,62,solo,8,7.94,683.68,SK0102_2_solo555_8_mono.wav
4959,31.06132953,189.5427081,68.78630307,84.63986041,0.023125501,0.090553336,16.2196087,6162,62,solo,9,6.14,529.33,SK0102_2_solo555_9_mono.wav
4960,77.37804291,517.9043941,66.91084347,76.29778469,0.015973651,0.062768007,19.8473901,6364,63,solo,10,7.72,664.73,SK0304_3_solo555_10_mono.wav
4961,69.78014884,224.5404596,66.25060164,76.84979742,0.023952128,0.060994009,17.6319251,6364,63,solo,11,7.81,672.48,SK0304_3_solo555_11_mono.wav
4962,74.4974955,325.1706029,67.7699061,79.6458127,0.021383184,0.063862112,17.9331956,6364,63,solo,12,9.46,814.52,SK0304_3_solo555_12_mono.wav
4963,70.72830953,297.1159569,66.24606158,78.46502583,0.021366744,0.062389932,19.4944325,6364,63,solo,13,5.43,467.74,SK0304_3_solo555_13_mono.wav
4964,65.73144927,256.8104886,67.17826654,82.76787864,0.019881905,0.065825173,18.8940043,6364,63,solo,14,6.48,558.61,SK0304_3_solo555_14_mono.wav
4965,73.44034505,212.9182458,67.16775578,77.82667654,0.023344786,0.066024533,17.9940254,6364,63,solo,15,6.91,595.57,SK0304_3_solo555_15_mono.wav
